code,label,theme,unit,source_name,source_note,source_organization,api_url
NY.GDP.MKTP.KD.ZG,GDP growth,Growth,%,World Development Indicators,"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. This indicator denotes the percentage change over each previous year of the constant price (base year 2015) series in United States dollars.","Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/NY.GDP.MKTP.KD.ZG?format=json&date=1990:2025&per_page=20000
NY.GDP.PCAP.KD,GDP per person,Growth,constant 2015 US$,World Development Indicators,"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. The core indicator has been divided by the general population to achieve a per capita estimate.This indicator is expressed in constant prices, meaning the series has been adjusted to account for price changes over time. The reference year for this adjustment is 2015. This indicator is expressed in United States dollars.","Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/NY.GDP.PCAP.KD?format=json&date=1990:2025&per_page=20000
FP.CPI.TOTL.ZG,Inflation,Prices,%,World Development Indicators,"Inflation as measured by the consumer price index reflects the annual percentage change in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals, such as yearly.","International Financial Statistics database, International Monetary Fund (IMF)",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/FP.CPI.TOTL.ZG?format=json&date=1990:2025&per_page=20000
SL.UEM.TOTL.ZS,Unemployment,Jobs,% of labor force,World Development Indicators,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/SL.UEM.TOTL.ZS?format=json&date=1990:2025&per_page=20000
GC.DOD.TOTL.GD.ZS,Central government debt,Public finance,% of GDP,World Development Indicators,"Debt is the entire stock of direct government fixed-term contractual obligations to others outstanding on a particular date. It includes domestic and foreign liabilities such as currency and money deposits, securities other than shares, and loans. It is the gross amount of government liabilities reduced by the amount of equity and financial derivatives held by the government. Because debt is a stock rather than a flow, it is measured as of a given date, usually the last day of the fiscal year. Central government is the part of general government that includes all administrative departments of the national executive, legislative, and judicial functions, other central agencies and those non-market producers controlled by the central government, whose competence extends normally over the whole economic territory. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.","Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/GC.DOD.TOTL.GD.ZS?format=json&date=1990:2025&per_page=20000
NE.EXP.GNFS.ZS,Exports,Trade,% of GDP,World Development Indicators,"Exports of goods includes changes in the economic ownership of goods from residents of the compiling economy to non-residents, irrespective of physical movement of goods across national borders. Exports of services includes services provided by residents to non-residents. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.","Country official statistics, National Statistical Offices (NSOs);
National Accounts data files, Central Banks;
Staff estimates, World Bank (WB)",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/NE.EXP.GNFS.ZS?format=json&date=1990:2025&per_page=20000
NE.IMP.GNFS.ZS,Imports,Trade,% of GDP,World Development Indicators,"Imports of goods includes change in the economic ownership of goods from non-residents to




residents of the compiling economy, irrespective of physical movement of goods across national borders. Imports of services includes services provided by non-residents to residents. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.","Country official statistics, National Statistical Offices (NSOs);
National Accounts data files, Central Banks;
Staff estimates, World Bank (WB)",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/NE.IMP.GNFS.ZS?format=json&date=1990:2025&per_page=20000
NE.TRD.GNFS.ZS,Trade openness,Trade,% of GDP,World Development Indicators,Trade is the sum of exports and imports of goods and services. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.,"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/NE.TRD.GNFS.ZS?format=json&date=1990:2025&per_page=20000
BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,World Development Indicators,"Balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF);
World Development Indicators Database, World Bank (WB);
National Accounts data files, Organisation for Economic Co-operation and Development (OECD)",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/BN.CAB.XOKA.GD.ZS?format=json&date=1990:2025&per_page=20000
SE.SEC.ENRR,Secondary school enrollment,Education,% gross,World Development Indicators,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), type: Bulk file (csv), date accessed: 2026-03-19, date published: 2026-02",https://api.worldbank.org/v2/country/TUN;DZA;MAR;EGY;JOR;TUR/indicator/SE.SEC.ENRR?format=json&date=1990:2025&per_page=20000
