country_code,country,year,indicator_code,indicator,theme,unit,value,source
DZA,Algeria,1990,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,2.289,World Bank WDI
DZA,Algeria,1991,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,5.177,World Bank WDI
DZA,Algeria,2005,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,19.7858,World Bank WDI
DZA,Algeria,2006,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,23.4985,World Bank WDI
DZA,Algeria,2007,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,21.3033,World Bank WDI
DZA,Algeria,2008,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,18.8234,World Bank WDI
DZA,Algeria,2009,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.2872,World Bank WDI
DZA,Algeria,2010,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,6.8736,World Bank WDI
DZA,Algeria,2011,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,8.095,World Bank WDI
DZA,Algeria,2012,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,5.3237,World Bank WDI
DZA,Algeria,2013,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.5171,World Bank WDI
DZA,Algeria,2014,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.8772,World Bank WDI
DZA,Algeria,2015,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-14.4205,World Bank WDI
DZA,Algeria,2016,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-14.4963,World Bank WDI
DZA,Algeria,2017,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-11.6218,World Bank WDI
DZA,Algeria,2018,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.6894,World Bank WDI
DZA,Algeria,2019,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.7637,World Bank WDI
DZA,Algeria,2020,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-11.0309,World Bank WDI
DZA,Algeria,2021,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.4233,World Bank WDI
DZA,Algeria,2022,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,8.623,World Bank WDI
DZA,Algeria,2023,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,2.6203,World Bank WDI
DZA,Algeria,2024,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.0225,World Bank WDI
EGY,"Egypt, Arab Rep.",1990,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,5.4143,World Bank WDI
EGY,"Egypt, Arab Rep.",1991,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,9.011,World Bank WDI
EGY,"Egypt, Arab Rep.",1992,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,7.8125,World Bank WDI
EGY,"Egypt, Arab Rep.",1993,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,5.4489,World Bank WDI
EGY,"Egypt, Arab Rep.",1994,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.0597,World Bank WDI
EGY,"Egypt, Arab Rep.",1995,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.4222,World Bank WDI
EGY,"Egypt, Arab Rep.",1996,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.2839,World Bank WDI
EGY,"Egypt, Arab Rep.",1997,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.9058,World Bank WDI
EGY,"Egypt, Arab Rep.",1998,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.0249,World Bank WDI
EGY,"Egypt, Arab Rep.",1999,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.8022,World Bank WDI
EGY,"Egypt, Arab Rep.",2000,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.9726,World Bank WDI
EGY,"Egypt, Arab Rep.",2001,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.4017,World Bank WDI
EGY,"Egypt, Arab Rep.",2002,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.731,World Bank WDI
EGY,"Egypt, Arab Rep.",2003,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,4.6623,World Bank WDI
EGY,"Egypt, Arab Rep.",2004,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,4.9779,World Bank WDI
EGY,"Egypt, Arab Rep.",2005,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,2.3453,World Bank WDI
EGY,"Egypt, Arab Rep.",2006,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,2.4532,World Bank WDI
EGY,"Egypt, Arab Rep.",2007,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.3156,World Bank WDI
EGY,"Egypt, Arab Rep.",2008,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.8688,World Bank WDI
EGY,"Egypt, Arab Rep.",2009,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.7707,World Bank WDI
EGY,"Egypt, Arab Rep.",2010,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.0567,World Bank WDI
EGY,"Egypt, Arab Rep.",2011,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.3238,World Bank WDI
EGY,"Egypt, Arab Rep.",2012,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.4979,World Bank WDI
EGY,"Egypt, Arab Rep.",2013,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.2251,World Bank WDI
EGY,"Egypt, Arab Rep.",2014,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-1.9485,World Bank WDI
EGY,"Egypt, Arab Rep.",2015,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.2353,World Bank WDI
EGY,"Egypt, Arab Rep.",2016,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-6.1647,World Bank WDI
EGY,"Egypt, Arab Rep.",2017,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.1968,World Bank WDI
EGY,"Egypt, Arab Rep.",2018,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.9316,World Bank WDI
EGY,"Egypt, Arab Rep.",2019,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.2076,World Bank WDI
EGY,"Egypt, Arab Rep.",2020,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.709,World Bank WDI
EGY,"Egypt, Arab Rep.",2021,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.3824,World Bank WDI
EGY,"Egypt, Arab Rep.",2022,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-2.2101,World Bank WDI
EGY,"Egypt, Arab Rep.",2023,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.1734,World Bank WDI
EGY,"Egypt, Arab Rep.",2024,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.686,World Bank WDI
EGY,"Egypt, Arab Rep.",2025,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.8155,World Bank WDI
JOR,Jordan,1990,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-5.4598,World Bank WDI
JOR,Jordan,1991,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-9.0584,World Bank WDI
JOR,Jordan,1992,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-15.7268,World Bank WDI
JOR,Jordan,1993,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-11.2209,World Bank WDI
JOR,Jordan,1994,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-6.3818,World Bank WDI
JOR,Jordan,1995,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.8442,World Bank WDI
JOR,Jordan,1996,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.2026,World Bank WDI
JOR,Jordan,1997,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.4049,World Bank WDI
JOR,Jordan,1998,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.1783,World Bank WDI
JOR,Jordan,1999,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,4.9686,World Bank WDI
JOR,Jordan,2000,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.326,World Bank WDI
JOR,Jordan,2001,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.2677,World Bank WDI
JOR,Jordan,2002,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,5.2315,World Bank WDI
JOR,Jordan,2003,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,11.7553,World Bank WDI
JOR,Jordan,2004,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,0.3435,World Bank WDI
JOR,Jordan,2005,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-18.0414,World Bank WDI
JOR,Jordan,2006,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-11.4627,World Bank WDI
JOR,Jordan,2007,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-16.8008,World Bank WDI
JOR,Jordan,2008,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-8.0075,World Bank WDI
JOR,Jordan,2009,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.5269,World Bank WDI
JOR,Jordan,2010,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-6.231,World Bank WDI
JOR,Jordan,2011,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-9.0563,World Bank WDI
JOR,Jordan,2012,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-13.5171,World Bank WDI
JOR,Jordan,2013,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-9.2516,World Bank WDI
JOR,Jordan,2014,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-6.434,World Bank WDI
